용도태그,상품명,카테고리,가격,평점,리뷰수,해당용도_언급,기타용도_언급,리뷰길이,용도집중도
"내구성 중시","Philips GC1905 1440-Watt Steam Iron with Spray (Blue)","SteamIrons",1614,4.3,37974,7,1,18547,0.88
"내구성 중시","Amazon Basics USB C to Lightning TPE MFi Certified Charging Cable (White, 1.2 meter)","USBCables",799,4.2,8583,6,0,1568,1
"내구성 중시","boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable with 6.5A Fast Charging & 480Mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Rebellious Black)","USBCables",399,4.1,1780,6,0,2466,1
"내구성 중시","boAt Rockerz 330 in-Ear Bluetooth Neckband with Upto 30 Hours Playtime, ASAP  Charge, Signature Sound, Dual Pairing & IPX5 with Mic (Active Black)","In-Ear",1499,4.1,109864,5,0,8145,1
"내구성 중시","AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Feet, Black)","USBCables",179,4.2,92595,5,0,8642,1
"사무·재택용","Logitech H111 Wired On Ear Headphones With Mic Black","On-Ear",745,4,13797,9,3,3154,0.75
"사무·재택용","TP-Link UE300 USB 3.0 to RJ45 Gigabit Ethernet Network Adapter - Plug and Play","WirelessUSBAdapters",1099,4.5,22420,3,0,1995,1
"사무·재택용","Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus","Smartphones",10999,4.1,18998,3,0,2971,1
"사무·재택용","TP-Link AC1200 Archer A6 Smart WiFi, 5GHz Gigabit Dual Band MU-MIMO Wireless Internet Router, Long Range Coverage by 4 Antennas, Qualcomm Chipset","Routers",2499,4.4,12679,3,0,5780,1
"사무·재택용","Zebronics, ZEB-NC3300 USB Powered Laptop Cooling Pad with Dual Fan, Dual USB Port and Blue LED Lights","CoolingPads",599,4,7601,3,1,1830,0.75
"아이·학생용","Camlin Elegante Fountain Pen - Black/Blue/Red","FountainPens",225,4.1,4798,9,7,9745,0.56
"아이·학생용","Xiaomi Pad 5| Qualcomm Snapdragon 860| 120Hz Refresh Rate| 6GB, 128GB| 2.5K+ Display (10.95-inch/27.81cm)|1 Billion Colours| Dolby Vision Atmos| Quad Speakers| Wi-Fi| Gray","Tablets",26999,4.6,2886,6,1,11410,0.86
"여행·휴대용","Ambrane 20000mAh Power Bank with 20W Fast Charging, Triple Output, Power Delivery, Type C Input, Made in India, Multi-Layer Protection, Li-Polymer + Type C Cable (Stylo-20k, Black)","PowerBanks",1799,4.1,18678,9,7,7210,0.56
"여행·휴대용","Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black","Mice",599,4.4,61314,4,1,4799,0.8
"여행·휴대용","SanDisk 1TB Extreme Portable SSD 1050MB/s R, 1000MB/s W,Upto 2 Meter Drop Protection with IP55 Water/dust Resistance, HW Encryption, PC,MAC & TypeC Smartphone Compatible, 5Y Warranty, External SSD","ExternalSolidStateDrives",10389,4.4,41398,4,1,1565,0.8
"여행·휴대용","Tabelito® Polyester Foam, Nylon Hybrid laptopss Bag Sleeve Case Cover Pouch for laptopss Apple/Dell/Lenovo/ Asus/ Hp/Samsung/Mi/MacBook/Ultrabook/Thinkpad/Ideapad/Surfacepro (15.6 inches /39.6cm, Blue) laptopsss","LaptopSleeves&Slipcases",299,4.2,2868,4,2,1593,0.67
"여행·휴대용","Boya ByM1 Auxiliary Omnidirectional Lavalier Condenser Microphone with 20ft Audio Cable (Black)","Condenser",798,4,68664,3,1,6649,0.75
